"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16130325","b2393","NP_416894.1","nucleoside (except guanosine) transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111427","b2394","NP_416895.2","IS186 transposase","0","N/A","","0","N/A","","0","N/A","","2 to 3","RBB","WP_000813355.1;WP_000812657.1","0","N/A","","0","N/A",""
"90111428","b2395","NP_416896.4","predicted diguanylate cyclase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111429","b2398","NP_416897.2","predicted DNA-binding protein, DUF1323 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"226524736","b2399","NP_416898.3","conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130330","b2400","NP_416899.1","glutamyl-tRNA synthetase","1 to 1","SSD","WP_015444383.1","1 to 1","RBB","WP_002866270.1","1 to 1","RBB","WP_012213119.1","1 to 1","SSD","WP_000868422.1","1 to 1","SSD","WP_041419768.1","1 to 1","SSD","NP_231845.1"
"16130331","b2405","NP_416900.1","DNA-binding transcriptional activator for for xapAB","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216504.1","1 to 1","RBB","WP_000423155.1","0","N/A","","0","N/A",""
"16130332","b2406","NP_416901.1","xanthosine transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130333","b2407","NP_416902.1","purine nucleoside phosphorylase II","1 to 1","SSD","WP_011213720.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130334","b2408","NP_416903.1","predicted outer membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130335","b2409","NP_416904.1","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","1 to 1","RBB","WP_006402069.1","1 to 2","RBB","WP_000172956.1","1 to 1","RBB","WP_041420448.1","0","N/A",""
"16130336","b2410","NP_416905.1","predicted inner membrane protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012214273.1","1 to 1","RBB","WP_000911275.1","0","N/A","","0","N/A",""
"16130337","b2411","NP_416906.1","DNA ligase, NAD(+)-dependent","1 to 1","SSD","WP_016356806.1","1 to 1","SSD","WP_002876660.1","1 to 1","RBB","WP_012213133.1","1 to 1","SSD","WP_001018842.1","1 to 1","SSD","WP_013050941.1","1 to 1","SSD","NP_230618.1"
"16130338","b2412","NP_416907.1","cell division protein involved in Z ring assembly","1 to 1","RBB","WP_010948319.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000405211.1","1 to 1","SSD","WP_013050940.1","1 to 1","SSD","NP_230617.1"
"16130339","b2413","NP_416908.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013050938.1","1 to 1","SSD","NP_230616.1"
"16130340","b2414","NP_416909.1","cysteine synthase A, O-acetylserine sulfhydrolase A subunit","1 to 2","RBB","WP_010948636.1","1 to 1","SSD","WP_002877147.1","0","N/A","","1 to 1","RBB","WP_000102364.1","1 to 1","SSD","WP_013050925.1","1 to 1","SSD","NP_230615.1"
"16130341","b2415","NP_416910.1","phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)","1 to 1","RBB","WP_010946224.1","0","N/A","","1 to 1","RBB","WP_006398181.1","0","N/A","","1 to 1","RBB","WP_013051214.1","1 to 1","RBB","NP_230613.1"
"16130342","b2416","NP_416911.1","PEP-protein phosphotransferase of PTS system (enzyme I)","0","N/A","","0","N/A","","1 to 1","RBB","WP_006398182.1","1 to 2","RBB","WP_000880346.1","2 to 1","RBB","WP_013051213.1","1 to 1","RBB","NP_230612.1"
"16130343","b2417","NP_416912.1","glucose-specific enzyme IIA component of PTS","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013051212.1","1 to 1","RBB","NP_230611.1"
"16130344","b2418","NP_416913.1","pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130345","b2419","NP_416914.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130346","b2420","NP_416915.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130347","b2421","NP_416916.1","cysteine synthase B (O-acetylserine sulfhydrolase B)","1 to 2","RBB","WP_010948636.1","0","N/A","","1 to 1","RBB","WP_006413203.1","1 to 1","SSD","WP_000072604.1","1 to 1","RBB","WP_013051201.1","1 to 1","Borderline-SSD","NP_230188.1"
"16130348","b2422","NP_416917.1","sulfate/thiosulfate transporter subunit","0","N/A","","0","N/A","","1 to 1","RBB","WP_006404868.1","1 to 1","Borderline-SSD","WP_000027499.1","7 to 1","RBB","WP_013050064.1","1 to 1","Non-SSD","NP_230192.1"
"90111430","b2423","YP_026168.2","sulfate/thiosulfate transporter subunit","0","N/A","","1 to 3","RBB","WP_014516934.1","1 to 1","RBB","WP_012213386.1","1 to 1","Non-SSD","WP_001048807.1","0","N/A","","1 to 1","Non-SSD","NP_230191.1"
"16130349","b2424","NP_416919.1","sulfate/thiosulfate transporter subunit","0","N/A","","1 to 3","SSD","WP_014516934.1","1 to 1","RBB","WP_006400147.1","1 to 1","Non-SSD","WP_000083115.1","0","N/A","","1 to 1","Non-SSD","NP_230190.1"
"16130350","b2425","NP_416920.1","thiosulfate-binding protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","NP_230189.1"
"90111431","b2426","NP_416921.4","predicted short-chain oxidoreductase","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000163853.1","0","N/A","","0","N/A",""
"16130352","b2427","NP_416922.1","Repressor for murPQ, MurNAc 6-P inducible","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_229861.1"
"16130353","b2428","NP_416923.1","N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_229863.1"
"16130354","b2429","NP_416924.1","N-acetylmuramic acid permease, EIIBC component, PTS system","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_229864.1"
"90111432","b2430","NP_416925.2","weak penicillin binding protein PBP4B, predicted periplasmic esterase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012218224.1","2 to 1","RBB","WP_000588786.1;WP_000689278.1","0","N/A","","0","N/A",""
"90111433","b2431","NP_416926.4","deferrrochelatase, cytoplasmic","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217849.1","1 to 1","RBB","WP_000126808.1","1 to 1","RBB","WP_041419649.1","1 to 1","SSD","NP_231776.1"
"16130357","b2432","NP_416927.1","RpoE-regulated lipoprotein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111434","b2433","NP_416928.4","inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231777.1"
"90111435","b2434","NP_416929.4","predicted acyltransferase with acyl-CoA N-acyltransferase domain","0","N/A","","1 to 1","RBB","WP_002857401.1","1 to 1","RBB","WP_012212867.1","1 to 1","RBB","WP_000469965.1","0","N/A","","1 to 1","Non-SSD","NP_232862.1"
"16130360","b2435","NP_416930.1","N-acetylmuramoyl-l-alanine amidase I","0","N/A","","1 to 3","RBB","WP_002876763.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130361","b2436","NP_416931.1","coproporphyrinogen III oxidase","1 to 1","SSD","WP_011946321.1","0","N/A","","1 to 1","RBB","WP_012212983.1","1 to 1","SSD","WP_001164613.1","1 to 1","SSD","WP_013049356.1","1 to 1","SSD","NP_229714.1"
"16130362","b2437","NP_416932.1","eut operon transcriptional activator, AraC family","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212492.1","2 to 1","RBB","WP_001987950.1;WP_001070644.1","0","N/A","","0","N/A",""
"90111436","b2438","NP_416933.4","predicted carboxysome structural protein with predicted role in ethanolamine utilization","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130364","b2439","NP_416934.1","predicted carboxysome structural protein with predicted role in ethanolamine utilization","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130365","b2440","NP_416935.1","ethanolamine ammonia-lyase, small subunit (light chain)","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212488.1","1 to 1","RBB","WP_000774020.1","0","N/A","","0","N/A",""
"90111437","b2441","NP_416936.4","ethanolamine ammonia-lyase, large subunit, heavy chain","0","N/A","","0","N/A","","1 to 1","RBB","WP_006414705.1","1 to 1","RBB","WP_000122161.1","0","N/A","","0","N/A",""
"145698295","b2442","NP_416937.2","CPZ-55 prophage; predicted integrase","1 to 3","RBB","WP_011213447.1","0","N/A","","0","N/A","","1 to 2","RBB","WP_000947611.1","0","N/A","","0","N/A",""
"16130368","b2443","NP_416938.1","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130369","b2444","NP_416939.1","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698296","b2445","NP_416940.2","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130371","b2446","NP_416941.1","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130372","b2447","NP_416942.1","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698297","b2448","NP_416943.2","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130374","b2449","NP_416944.1","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698298","b2450","NP_416945.2","CPZ-55 prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130376","b2451","NP_416946.1","reactivating factor for ethanolamine ammonia lyase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130377","b2452","NP_416947.1","ethanolamine transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111438","b2453","NP_416948.4","ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol","1 to 3","RBB","WP_010947959.1","0","N/A","","1 to 4","RBB","WP_012217261.1","0","N/A","","0","N/A","","0","N/A",""
"16130379","b2454","NP_416949.1","predicted chaperonin, ethanolamine utilization protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130380","b2455","NP_416950.1","aldehyde oxidoreductase, ethanolamine utilization protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130381","b2456","NP_416951.1","Ethanolamine catabolic microcompartment shell protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111439","b2457","NP_416952.2","predicted carboxysome structural protein, ethanolamine utilization protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130383","b2458","NP_416953.1","acetyl phosphotransacylase","1 to 2","RBB","WP_010947970.1","0","N/A","","1 to 1","RBB","WP_012467881.1","0","N/A","","0","N/A","","0","N/A",""
"16130384","b2459","NP_416954.1","cobalamin adenosyltransferase involved in ethanolamine utilization","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130385","b2460","NP_416955.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000665859.1","0","N/A","","0","N/A",""
"16130386","b2461","NP_416956.1","conserved protein with nucleoside triphosphate hydrolase domain","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111440","b2462","NP_416957.4","predicted carboxysome structural protein with predicted role in ethanol utilization","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130388","b2463","NP_416958.1","fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase","1 to 1","RBB","WP_011945808.1","1 to 1","SSD","WP_002854063.1","1 to 1","RBB","WP_012212547.1","1 to 1","RBB","WP_000342684.1","1 to 1","Borderline-SSD","WP_013049565.1","1 to 1","Non-SSD","NP_232309.1"
"16130389","b2464","NP_416959.1","transaldolase A","0","N/A","","1 to 2","RBB","WP_014516926.1","1 to 2","RBB","WP_006413476.1","1 to 2","RBB","WP_000149851.1","0","N/A","","0","N/A",""
"16130390","b2465","NP_416960.1","transketolase 2, thiamin-binding","1 to 2","RBB","WP_015444942.1","1 to 2","RBB","WP_002866850.1","1 to 2","RBB","WP_006400360.1","1 to 2","RBB","WP_000211075.1","2 to 1","RBB","WP_013049998.1","0","N/A",""
"16130391","b2466","NP_416961.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000789887.1","0","N/A","","0","N/A",""
"16130392","b2467","NP_416962.1","GDP-mannose pyrophosphatase","0","N/A","","1 to 2","RBB","WP_002866995.1","1 to 1","RBB","WP_006396498.1","0","N/A","","0","N/A","","0","N/A",""
"16130393","b2468","NP_416963.1","fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit","0","N/A","","1 to 3","RBB","WP_002866800.1","1 to 3","RBB","WP_012212581.1","0","N/A","","0","N/A","","0","N/A",""
"16130394","b2469","NP_416964.1","sensory histidine kinase in two-component regulatory system with NarP (NarL)","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050046.1","1 to 1","RBB","NP_233063.1"
"16130395","b2470","NP_416965.1","aminoglycoside/multidrug efflux system","2 to 4","RBB","WP_010947887.1;WP_010948214.1","1 to 4","RBB","WP_014516944.1","1 to 4","RBB","WP_006414803.1","1 to 4","RBB","WP_000046678.1","0","N/A","","4 to 2","RBB","NP_229821.1;NP_230561.1"
"16130396","b2471","NP_416966.1","predicted reductase, function unknown, ArsC family; low abundance protein","0","N/A","","1 to 1","RBB","WP_002854966.1","1 to 1","RBB","WP_006402634.1","1 to 1","SSD","WP_000913165.1","1 to 1","SSD","WP_041419827.1","1 to 1","Borderline-SSD","NP_231781.1"
"16130397","b2472","NP_416967.1","N-succinyl-diaminopimelate deacylase","1 to 1","SSD","WP_011945991.1","1 to 1","RBB","WP_014517035.1","1 to 1","RBB","WP_006412849.1","1 to 1","SSD","WP_001016571.1","1 to 1","SSD","WP_013051209.1","1 to 1","Borderline-SSD","NP_231783.1"
"90111441","b2473","NP_416968.2","predicted hydrolase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217213.1","0","N/A","","1 to 1","RBB","WP_013051873.1","0","N/A",""
"16130399","b2474","NP_416969.1","Elongator methionine tRNA (ac4C34) acetyltransferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Borderline-SSD","NP_233491.1"
"16130400","b2475","NP_416970.1","conserved protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_012216661.1","1 to 1","RBB","WP_001267655.1","1 to 1","RBB","WP_013051865.1","0","N/A",""
"16130401","b2476","NP_416971.1","phosphoribosylaminoimidazole-succinocarboxamide synthetase","1 to 1","RBB","WP_010947402.1","1 to 1","RBB","WP_002854922.1","1 to 1","RBB","WP_006398410.1","1 to 1","RBB","WP_000917863.1","0","N/A","","0","N/A",""
"90111442","b2477","NP_416972.4","lipoprotein required for OM biogenesis, in BamABCD complex","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013051194.1","1 to 1","RBB","NP_231787.1"
"16130403","b2478","NP_416973.1","dihydrodipicolinate synthase","1 to 1","SSD","WP_010948020.1","1 to 1","SSD","WP_002865994.1","1 to 1","RBB","WP_006401923.1","1 to 1","SSD","WP_000193600.1","1 to 1","SSD","WP_013051193.1","1 to 1","SSD","NP_231788.1"
"90111443","b2479","NP_416974.4","DNA-binding transcriptional repressor, regulatory protein accessory to GcvA","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013051192.1","1 to 1","RBB","NP_231790.1"
"16130405","b2480","NP_416975.1","thiol peroxidase, thioredoxin-dependent","1 to 1","Borderline-SSD","WP_015443925.1","1 to 1","SSD","WP_002851665.1","1 to 1","RBB","WP_006412697.1","1 to 1","Non-SSD","WP_001293534.1","1 to 1","SSD","WP_013051191.1","1 to 1","SSD","NP_231791.1"
"90111444","b2481","NP_416976.4","hydrogenase 4, 4Fe-4S subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130407","b2482","NP_416977.1","hydrogenase 4, membrane subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","NP_232555.1"
"90111445","b2483","NP_416978.4","hydrogenase 4, membrane subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130409","b2484","NP_416979.1","hydrogenase 4, membrane subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","NP_232555.1"
"16130410","b2485","NP_416980.1","hydrogenase 4, membrane subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130411","b2486","NP_416981.1","hydrogenase 4, membrane subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130412","b2487","NP_416982.1","hydrogenase 4, subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130413","b2488","NP_416983.1","hydrogenase 4, Fe-S subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","NP_231156.1"
"16130414","b2489","NP_416984.1","hydrogenase 4, Fe-S subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111446","b2490","NP_416985.4","predicted processing element hydrogenase 4","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111447","b2491","NP_416986.4","DNA-binding transcriptional activator, formate sensing","0","N/A","","0","N/A","","1 to 1","RBB","WP_044582789.1","0","N/A","","2 to 1","RBB","WP_013052811.1","2 to 1","RBB","NP_231768.1"
"16130417","b2492","NP_416987.1","predicted formate transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130418","b2493","NP_416988.1","predicted inner membrane permease, UPF0118 family","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_001153980.1","1 to 1","SSD","WP_013051172.1","1 to 1","SSD","NP_231793.1"
"16130419","b2494","NP_416989.1","predicted peptidase, has TPR repeats","1 to 1","RBB","WP_015444590.1","0","N/A","","1 to 1","RBB","WP_012467692.1","1 to 1","SSD","WP_000670577.1","1 to 1","SSD","WP_013051169.1","1 to 1","RBB","NP_231795.1"
"16130420","b2495","NP_416990.1","predicted oxidoreductase","1 to 1","RBB","WP_010946009.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013051168.1","1 to 1","SSD","NP_231796.1"
"226524737","b2496","NP_416991.2","ATPase regulatory factor involved in DnaA inactivation","1 to 1","RBB","WP_015443937.1","0","N/A","","1 to 1","RBB","WP_012467489.1","1 to 1","SSD","WP_001249535.1","1 to 1","SSD","WP_013051166.1","0","N/A",""
"16130422","b2497","NP_416992.1","uracil permease","0","N/A","","0","N/A","","0","N/A","","0","N/A","","2 to 1","Non-SSD","WP_013051164.1","2 to 1","Non-SSD","NP_231802.1"
"90111448","b2498","NP_416993.2","uracil phosphoribosyltransferase","1 to 1","Non-SSD","WP_010947952.1","1 to 1","SSD","WP_014517076.1","1 to 1","RBB","WP_006413163.1","1 to 1","SSD","WP_001007343.1","1 to 1","SSD","WP_013051058.1","1 to 1","SSD","NP_231856.1"
"16130424","b2499","NP_416994.1","phosphoribosylaminoimidazole synthetase","1 to 1","Borderline-SSD","WP_011946657.1","1 to 1","SSD","WP_002867070.1","1 to 1","RBB","WP_012214073.1","1 to 1","SSD","WP_000071984.1","1 to 1","SSD","WP_013051057.1","1 to 1","SSD","NP_231857.1"
"16130425","b2500","NP_416995.1","phosphoribosylglycinamide formyltransferase 1","1 to 1","Borderline-SSD","WP_010947399.1","1 to 1","RBB","WP_002866343.1","1 to 1","RBB","WP_006398537.1","1 to 1","SSD","WP_000686337.1","1 to 1","SSD","WP_013051056.1","1 to 1","SSD","NP_231858.1"
"16130426","b2501","NP_416996.1","polyphosphate kinase, component of RNA degradosome","1 to 1","Borderline-SSD","WP_010946050.1","1 to 1","Borderline-SSD","WP_002860421.1","1 to 1","RBB","WP_006417393.1","2 to 1","RBB","WP_000202698.1;WP_001090301.1","0","N/A","","1 to 1","SSD","NP_230372.1"
"16130427","b2502","NP_416997.1","exopolyphosphatase","0","N/A","","1 to 2","RBB","WP_002866641.1","1 to 2","RBB","WP_012213679.1","1 to 1","SSD","WP_001279274.1","2 to 1","RBB","WP_041420078.1","1 to 1","SSD","NP_230371.1"
"16130428","b2503","NP_416998.1","inner membrane protein, predicted c-di-GMP dual activity enzyme","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
